idx,sentence,emotion
124,"well , you ' re - you ' re sweating .",neutral
125,these - these are beads of joy .,joy
126,oh that ' s sweet . don ' t touch me .,disgust
127,"uh phoebe , can i see you for a second ?",neutral
128,yeah !,neutral
129,what ' s going on ?,neutral
130,chandler ' s gone again !,surprise
131,oh my god ! why would you play hide and seek with someone you know is a flight risk !,non-neutral
132,okay . you ready to push again ?,neutral
133,i already had a baby . leave me alone .,anger
134,"okay , okay , come on , you can do it . you can do it !",joy
135,yeah !,joy
136,little leslie is here !,joy
137,we got another one !,surprise
138,"oh my god , i can ' t believe i have two - two children .",surprise
139,how scary is that ?,surprise
140,"come on little chandler , it ' s time to be born . come on little chandler ! come on !",joy
141,"all right , he ' s coming . he ' s coming !",joy
142,"hey , where ' s his thing ?",surprise
143,chandler ' s a girl !,surprise
144,"oh god , kindergarten flashback .",surprise
145,they musta read the sonogram wrong .,surprise
146," cause they , ' cause they thought it was a boy , but chandler ' s a girl !",surprise
147,chandler ' s a girl !,surprise
148,"okay , keep saying it !",joy
149,am i too late !,neutral
150,"no - no ah , everything ' s okay . everybody ' s healthy there ' s 30 fingers and 30 toes .",joy
151,we have our babies ?,surprise
152,yeah .,joy
153,"oh , we have our babies .",joy
154,hey toby !,joy
155,hey bobby .,neutral
156,"it ' s bob actually . hey , you work up here , can you tell me where this chandler",neutral
157,"uhh yeah . yeah , it ' s right , right down there . right there , yeah . can i ask you why ?",neutral
158,"i want to talk to that bastard , see what his problem is .",anger
159,"okay bob listen uhh , i ' m the reason you didn ' t get the job up here .",non-neutral
160,toby don ' t .,non-neutral
161,bob !,non-neutral
162,toby ! i ' m not gonna let you cover for him . anything you say right now will just get me more upset with chandler !,anger
163,ohh !,surprise
164,thank you . oh joey and look at this crib ! it ' s so cute !,joy
165,i know ! i found it on the street .,joy
166,are you seriousreally ! it ' s in such good condition .,surprise
167,yeah .,neutral
168,wow ! whoa - whoa what ' s under the covers ?,surprise
169,i don ' t know .,neutral
170,it ' s moving .,non-neutral
171,ew .,disgust
172,it ' s stillit ' s got a tail ! get it out of here ! get it out of here !,fear
173,ooh ! ah ! okay !,fear
174,"well , i went over to kyle ' s last night to pick up a few things and we got to reminiscing",neutral
175,we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there . so,non-neutral
176,oh just say it kyle !,surprise
177,we ' re gonna give it another try .,joy
178,what about her whining and her constant need for attention !,non-neutral
179,i ' m gonna work on that .,neutral
180,"oh right , because you ' re so capable of change .",non-neutral
181,"y ' know , he hums when he pees !",non-neutral
182,i do know .,neutral
183,"it makes him miss the bowl , but whatever .",disgust
184,we ' re so sorry .,sadness
185,"that ' s all right , we - we don ' t need you . in fact , hey i ' m over it already .",non-neutral
186,"yeah , and y ' know what ? i don ' t give a tiny rat ' s ass .",anger
187,"yeah , we ' re gonna go .",neutral
188,"i ' m sorry . ugh , pheebs , you were , you were right about her . y ' know , she",sadness
189,"oh . y ' know , he hums while he does other stuff to .",neutral
190,"yeah , we ' re better off without them .",non-neutral
191,"and y ' know , even if they break up again , you ' d better not let him in your sad men ' s club !",anger
192,divorced men ' s club .,sadness
193,"potato , potaato .",neutral
194,why isn ' t that valet back with my porsche ?,anger
195,maybe because you ' ve got the keys ?,non-neutral
196,porsche .,neutral
197,this is totally your fault !,anger
198,my fault ! you threatened the judge !,anger
199,"well , you ripped the paper out of the court reporter ' s machine !",anger
200,"can we , can we just forget this ever happened ?",non-neutral
201,"yes of course , absolutely ! you ' re right . i ' m sorry .",sadness
202,thank you .,neutral
203,yes .,neutral
204,"all right i guess i ' m , gonna go pack .",neutral
205,"okay . oh wait ! one more thing umm , do - do we still need to uh settle the question of "" us ? """,fear
206,phoebe !,neutral
207,yeah ?,neutral
208,have you seen chandler !,neutral
209,no ! why ?,neutral
210,the woman from the museum called and said that there was a cancellation and that we could move up our wedding and chandler heard !,fear
211,i know !,fear
212,how bad is this ?,fear
213,!,neutral
214,"well for the regular guy , it ' s bad , but chandler , oh dear god !",fear
215,i know ! i know ! and he totally freaked out and i can ' t find him anywhere !,fear
216,what are you gonna do ?,neutral
217,"well , i ' m never gonna listen to you again , that ' s for sure !",anger
218," y ' know , harm can it do if you go and put your name down ? ",neutral
219,rachel said that !,surprise
220,well rachel ' s not here !,anger
221,"come on , come on .",neutral
222,"damnit , damnit , damnit , damnit .",anger
223,this is all your fault .,anger
224,"this is supposed to be , like , the greatest day of my life , y ' know ?",non-neutral
225,"my son is being born , and i should be in there , you know , instead of stuck in a closet with you .",anger
226,the woman i love is having a baby today . i ' ve been waiting for this just as much as you have .,non-neutral
227,"no no no , believe me .",non-neutral
228,"no one has been waiting for this as much as i have , ok ?",anger
229,and you know what the funny thing is ?,neutral
230,"when this day is over , you get to go home with the baby , ok ?",non-neutral
231,where does that leave me ?,sadness
232,you get to be the baby ' s father .,neutral
233,everyone knows who you are .,neutral
234,who am i ?,non-neutral
235,"there ' s mother ' s day , there ' s father ' s day , there ' s no . lesbian lover day .",sadness
236,every day is lesbian lover day .,neutral
237,this is so great .,joy
238,you wanna explain that ?,neutral
239,"i mean , well , ' cause when i was growing up , you know my dad left , and my mother died , and my stepfather went to jail , so i barely had enough pieces of parents to make one whole one .",sadness
240,and here ' s this little baby who has like three whole parents who care about it so much that they ' re fighting over who gets to love it the most .,joy
241,and it ' s not even born yet .,non-neutral
242,"it ' s just , it ' s just the luckiest baby in the whole world .",joy
243,"i ' m sorry , you were fighting .",sadness
244,"okay , it ' s a typical new york city apartment . two girls are just hanging out .",neutral
245,"hi , how are you doing kelly ?",neutral
246,"i ' m doing just fine ! god , tiffany , you smell so great !",joy
247,it ' s my new perfume . why don ' t you come closer where you can,neutral
248,"oh , y ' know joey , you are sick !",disgust
249,this is disgusting !,disgust
250,i ' m not reading this !,disgust
251,what ! wait - wait - wait ! the handsome man was about to enter !,surprise
252,"all right , i ' ll give you this , mr . peanut is a better dresser .",neutral
253,"i mean he ' s got the monocle , he ' s got the top hat .",neutral
254,you know he ' s gay ?,neutral
255,i just wanna clarify this : are you outing mr . peanut ?,neutral
256,"danielle ! hi ! uh - everybody , this is danielle , danielle , everybody .",neutral
257,hi . hi .,neutral
258,what are you doing here ?,surprise
259,"well , what ?",neutral
260,what ?,neutral
261,what is it ?,neutral
262,that she left you ?,surprise
263,that she likes women ?,neutral
264,that she left you for another woman that likes women ?,neutral
265,"little louder , okay , i think there ' s a man on the twelfth floor in a coma that didn ' t quite hear you .",anger
266,then what ?,neutral
267,my first time with carol was .,neutral
268,what ?,neutral
269,it was my,neutral
270,with carol ? oh .,surprise
271,"so in your whole life , you ' ve only been with oneoh .",surprise
272,"whoah , boy , hockey was a big mistake ! there was a whole bunch of stuff we could ' ve done tonight !",non-neutral
273,hi . where is everybody ?,neutral
274,"oh , it ' s already closed , chris gave me the keys to lock up - what is wrong ?",non-neutral
275,"my marriage , i think my marriage is um , is kinda over .",sadness
276,oh no ! why ?,surprise
277,"cause carol ' s a lesbian . and , and i ' m not one . and apparently it ' s not a mix and match situation .",sadness
278,"oh my god ! i don ' t believe it ! oh , you poor bunny .",surprise
279,i ' m an idiot .,disgust
280,"i mean shoulda seen it , i mean carol and i ' d be out and she ' d , she ' d see some beautiful woman , and , and she ' d be ross y ' know look at her , and i ' d think , god , my wife is cool !",non-neutral
281,"aw ! hey , do you think that susan person is her lover ?",neutral
282,"well , now i do !",surprise
283,i ' m sorry .,sadness
284,seven years .,sadness
285,"i mean we ' ve been together seven years , she ' s the only woman who ' s ever loved me , and the only woman i ' ve - i ' ve ever .",sadness
286,"aw , god ross . oh .",sadness
287,i ' ll do it .,neutral
288,no you won ' t .,neutral
289,"look he knows he did a terrible thing and i believe him , he ' s sorry .",sadness
290,"but , you ' ve got one more apology to make , all right , you ' ve got to apologize to mary - angela .",non-neutral
291,"okay , absolutely !",joy
292,all right .,neutral
293,you ' ve got it .,neutral
294,"cookie , now you can punch him !",anger
295,what !,surprise
296,"all right , that ' s it , i quit .",anger
297,what ? i didn ' t say anything .,surprise
298,"yeah , but this isn ' t the face of a person who trusts a person .",non-neutral
299,"ok , this is the face of a person who , you know , doesn ' t trust a person .",non-neutral
300,"i ' m sorry . i ' m sorry , phoebe . it ' s just a little shorter than what we had discussed .",non-neutral
301,would you relax ? i know what i am doing . this is how he wears it .,anger
302,julie .,neutral
303,what !,non-neutral
304,jody !,surprise
305,you were with julie ?,neutral
306,"look , when it started i was just trying to be nice to her because she was my brother ' s girlfriend .",neutral
307,"and then , one thing led to another and , before i knew it , we were . shopping .",neutral
308,oh . oh my god .,surprise
309,"honey , wait . we only did it once . it didn ' t mean anything to me .",non-neutral
310,"yeah , right . sure !",anger
311,"really , rachel , i was thinking of you the whole time .",non-neutral
312,"look , i ' m sorry , all right .",sadness
313,i never meant for you to find out !,sadness
314,"oh , please , you wanted to get caught .",anger
315,that is not true !,anger
316,"oh , so you just sort of happened to leave it in here ?",anger
317,did it ever occur to you that i might just be that stupid ?,non-neutral
318,"ok , monica . i just have to know one thing . did you go with her to",sadness
319,hey !,joy
320,yeah !,non-neutral
321,i can ' t say .,neutral
322,why !,surprise
323,why not ?,non-neutral
324,i can ' t say because he ' s famous .,neutral
325,"oh my god , who is it !",surprise
326,"phoebe , come on , you have to tell us .",non-neutral
327,"okay , okay . it ' s james brolin . james brolin is the father of my baby .",non-neutral
328,as in barbara streisand ' s husband james brolin ?,surprise
329,what ! well he never said that to me !,surprise
330,in,neutral
331,"oh , this life ! oh okay no , chandler ' s is worse .",sadness
332,"man , it must be so cool remembering stuff like that ! i don ' t have any past life memories .",non-neutral
333,of course you don ' t sweetie . you ' re brand new .,neutral
334,i know monica ' s worst thanksgiving .,neutral
335,"oh , let ' s not tell this story .",non-neutral
336,"oh , come on !",non-neutral
337,"oh no , i know ! i know ! it ' s the one where joey got monica ' s turkey stuck on his head !",non-neutral
338,what ! joey got a turkey stuck on his head !,surprise
339,"hey , it ' s not like it sounds .",neutral
340,it ' s,neutral
341,"wendy , we had a deal ! yeah , you promised ! wendy ! wendy ! wendy !",anger
342,who was that ?,neutral
343,wendy bailed . i have no waitress .,non-neutral
344,oh . that ' s too bad . bye bye .,non-neutral
345,ten dollars an hour .,neutral
346,no .,neutral
347,twelve dollars an hour .,neutral
348,"mon . i wish i could , but i ' ve made plans to walk around .",neutral
349,"you know , rachel , when you ran out of your wedding , i was there for you .",non-neutral
350,"i put a roof over your head , and if that means nothing to you . twenty dollars an hour .",non-neutral
351,done .,joy
352,"the reactor ' s gonna blow in three seconds , we ' re never gonna make it !",fear
353,you ' ve got to get out of here ! save yourself !,fear
354,no ! i won ' t leave you !,fear
355,"don ' t worry about me , i ' m a robot ! i ' m just a machine !",non-neutral
356,no you ' re not ! not to me !,non-neutral
357,oh my god .,non-neutral
358,what ?,neutral
359,i am,neutral
360,"yeah , you ' re great ! okay , let ' s take it from",joy
361,"no , i mean i was really acting my ass off .",non-neutral
362,"yeah , i thought i was pretty good too .",joy
363,"oh yeah , you ' re solid . yeah , you ' re just no me .",neutral
364,y ' know what ? i think that ' s enough for now . yeah . i don ' t want to be over rehearsed .,neutral
365,fine !,anger
366,i ' ll do it without you !,anger
367,i don ' t need you or anybody else !,anger
368,i ' m gonna make it on my own !,anger
369,you ' ll see !,anger
370,you ' ll,neutral
371,i can ' t believe that ross is gone . it is just so sad .,sadness
372,i didn ' t know ross and you were so close .,surprise
373,we weren ' t but we had one class together . he was such a great guy and he talked so passionately about science . i always remembered him .,sadness
374,i ' m sure that would mean a lot to him .,neutral
375,"and if heaven has a door , i ' m sure he ' s pressing his ear up against it and listening intently .",neutral
376,i thought so many times about calling him and asking him out . i guess i really missed my chance .,sadness
377,but you didn ' t !,joy
378,i ' m still alive !,joy
379,"kori , i know this is a big surprise for you .",joy
380,it ' s a long story but the things you just said really made my day !,joy
381,"i mean , the fact that you are here means more to me than if this room were filled with people !",joy
382,"you sick freak , who does that ? i can ' t believe i had a crush on you !",anger
383,did you hear that ? kori weston had a crush on me !,non-neutral
384,we ' ll do a quick check .,neutral
385,okay .,neutral
386,"so , eight days late huh ?",surprise
387,yeah .,neutral
388,you must be a little uncomfortable .,neutral
389,"eh , just a tad .",neutral
390,"you ' re about 80 percent effaced , so you ' re on your way .",neutral
391,it still could last a little while longer .,neutral
392,if you ' re anxious there are a few ways to help things along .,neutral
393,do them !,non-neutral
394,"actually , they ' re things you can do . just some home remedies , but in my experience i ' ve found that some of them are quite effective .",neutral
395,"well , we are ready to try anything .",neutral
396,"okay , there ' s an herbal tea you can drink .",neutral
397,okay .,neutral
398,what is wrong with emma ?,non-neutral
399,"oh she misunderstood , she thought she was moving to tulsa .",neutral
400,anytime you ' re ready .,neutral
401,"ok , ok , here we go .",neutral
402,"ok , where am i talking to , here ?",neutral
403,"i mean , uh , well , there is one way that seems to offer a certain acoustical advantage , but .",neutral
404,just aim for the bump .,neutral
405,"ok , ok , ok , ok , here goes .",neutral
406,"you know , i , you know , can ' t do this .",fear
407,"uh , this is too weird .",disgust
408,i feel stupid .,sadness
409,"so don ' t do it , it ' s fine . you don ' t have to do it just because susan does it .",neutral
410,"hello , baby . hello , hello .",joy
411,hello !,joy
412,"oh , hi . it ' s mark .",neutral
413,oh .,neutral
414,what ? is it my breath ?,fear
415,ow !,surprise
416,rach ?,neutral
417,ow ! ow !,surprise
418,easy . easy . you have to go to the hospital . okay ?,fear
419,"okay , i do .",neutral
420,okay .,neutral
421,i really do .,non-neutral
422,"okay , i ' m gonna get your coat and then i ' ll - i ' ll put you in a cab .",neutral
423,"okay . oh wait , wait - wait , you ' re not gonna come with me ?",non-neutral
424,of course i am . i just have to make a call .,surprise
425,okay .,neutral
426,okay ?,neutral
427,thank you . oww ! god !,surprise
428,"what ! i wh - , what ' s wrong ?",non-neutral
429,"i ' m sorry , i just can ' t go to the hospital lookin ' like this .",disgust
430,"pete becker is circling the ring now . it looks like , he ' s just trying to feel him out . oh , bruiser is just .",neutral
431,"run ! run you crazy , rich freak !",fear
432,"oh , i can ' t watch this .",fear
433,"check it out , he ' s winning ! pete ' s winning !",surprise
434,really !,surprise
435,no - o - o !,fear
436,"uh - oh , bruiser has becker on the canvas and is going for his favourite area .",fear
437,oh ! oh !,non-neutral
438,"wait , if that ' s his favourite area , why is he being so mean to it ?",surprise
439,"well , this is ironic .",surprise
440,"of your last two boyfriends , richard didn ' t want to have kids , and from the looks of it , now pete can ' t .",neutral
441,"dude , you don ' t have to brag ! we got nothing here !",anger
442,should we tell rachel there ' s an empty private room right next door to hers ?,neutral
443,"we could , or we can have sex in it .",joy
444,"well let me think about that , while i remove my pants !",joy
445,i thought i was a complete idiot .,non-neutral
446,"hey , i ' m with you . he even asked me if i thought you ' d go out with him .",neutral
447,"oh ! oh , i think i ' m gonna throw up a little bit . what did you say ?",disgust
448,i said no .,neutral
449,what !,surprise
450,what ? ii just figured since you ' re pregnant you ' re not gonna be seeing people .,surprise
451,"okay joey , first of all kash ford is not people . second of all , what did he say when you told him i was pregnant ?",anger
452,i didn ' t tell him . i didn ' t know if you were telling people . this is back when i thought kash was still people .,non-neutral
453,"good - good , don ' t tell him . don ' t tell him . just have him call me okay ?",non-neutral
454,"rach look , i really don ' t think that ' s such a great",sadness
455,"okay , you go do it ! i ' ll come back to that set ! i ' ll meet more actors ! i ' ll meet em all !",joy
456,"ohh , here you are . i was looking for you before . joshua ' s gone so you and emily are free to go .",neutral
457,that ' s okay .,neutral
458,"she ' s still in there enjoying her fake party and uh , it ' s too late to do any of the things i had planned , so",neutral
459,ah ! ah ! i forgot my jacket !,anger
460,"oh , wait - wait - wait",neutral
461,you tell them to wait !,anger
462,okay . wait ! wait !,neutral
463,emily .,neutral
464,oh no - no - no ! oh - no ! no ! no ! emily !,anger
465,hey . call me when you get there . okay ?,neutral
466,okay .,neutral
467,i know . you ' re the guy who wouldn ' t chip in for the handyman .,non-neutral
468,nevermind !,anger
469,"no , i - i actually thought it was unfair the way everyone reacted . i mean you had just moved in .",neutral
470,i,neutral
471,jen .,neutral
472,"jen , i know this may sound a little but uh , would you maybe wanna grab a cup of coffee sometime , or",neutral
473,sure ! that would be nice .,joy
474,umm ?,neutral
475,oh ! my number is on there . give me a call .,non-neutral
476,i will give you a call .,neutral
477,i ' ll see you later .,neutral
478,okay !,joy
479,i forgot my paper .,neutral
480,"here we go . okay , brace yourselves .",neutral
481,what ?,neutral
482,okay .,neutral
483,ow !,surprise
484,aren ' t you gonna go ?,neutral
485,no . thank you .,neutral
486,"no , rachel never pees in public restrooms .",neutral
487,"well , they never have any paper in there y ' know . so my rule is no tissue , no tuschy . ' well , if everybody ' s going .",neutral
488,"no , y ' know what don ' t close it cause the . keys . are in there .",neutral
489,"oh , no - no - no - no - no - no !",fear
490,what ' s going on ?,neutral
491,my lighter ' s in there !,fear
492,i promise .,neutral
493,"although , don ' t feel like you can ' t visit .",neutral
494,"hey , is , is , is chandler here ?",neutral
495,"no , no he ' s not .",neutral
496,"you guys , joey just saw janice kissing her ex - husband .",surprise
497,"what ? so what are you going to do ? i mean how , how are you going to tell chandler ?",surprise
498,"well , i was thinking about that and i , i think the best way would be , to not .",neutral
499,"joey , you can ' t keep this to yourself , if you know about this , you have to tell him .",neutral
500,"it ' ll kill him . i mean it ' ll , it ' ll just kill him .",non-neutral
501,"well , you could wait til i go to the dentist , maybe",neutral
502,hi !,joy
503,hey .,neutral
504,"hey , what are you doing here ?",neutral
505,"well , oh just ah , i was just wondering , when you and i split up , did you get the tape that was half the last episode of",neutral
506,"ah yeah , but now it ' s susan and me in mexico and the hostages coming home .",neutral
507,where ' s ben ?,neutral
508,he ' s sleeping .,neutral
509,"ahh . ooh , is this a ah , is this a bad time ?",surprise
510,"umm , yeah , actually , susan ' s gonna be home any minute , it ' s kinda an anniversary .",non-neutral
511,"oh ! i thought you guys got married in uh , january ?",surprise
512,it ' s not that kind of anniversary .,neutral
513,ah ! oh .,surprise
514,so ! anyway .,neutral
515,where are we gonna find a tiny little hat ?,neutral
516,"oh , oh , oh , i ' ll get rainy day bear ' !",joy
517,"because he ' ll know what to do ? oh my god , you ' re a genius !",joy
518,"oh god , oh god , it ' s sowed on though .",non-neutral
519,give it . give it .,neutral
520,okay .,neutral
521,oh !,surprise
522,"oh , it ' s just like a bloodbath in here today .",non-neutral
523,please . this is so your fault .,anger
524,"how , how is this my fault ?",surprise
525,"look , carol never threw me out of a room before you came along .",anger
526,"yeah ? well , there ' s a lot of things carol never did before i came along .",anger
527,you tryin ' to be clever ? a funny lady ?,anger
528,you know what your problem is ? you ' re threatened by me .,anger
529,"oh , i ' m threatened by you ?",anger
530,yes .,anger
531,"hey , hey , ok , all right , that ' s it !",anger
532,get in here .,anger
533,come on .,neutral
534,"my god , you guys , i don ' t believe you .",non-neutral
535,there are children coming into the world in this very building and your negative fighting noises are not the first thing they should be hearing .,anger
536,"so just stop all the yelling , just stop it !",anger
537,"yeah , susan .",neutral
538,"don ' t make me do this again , i don ' t like my voice like this .",anger
539,"ok , who wants to hear something ironic ?",neutral
540,"oh ! here it is ! ooh , joey ! why did you sign it , "" son of a bitch ? """,surprise
541,i didn ' t do that ! who would ' ve done that !,surprise
542,son of a bitch !,anger
543,"okay , maybe ask this guy .",neutral
544,"oh , did i not mention ? carl is a guy i hired to be my identical twin for a medical research project .",neutral
545,"y ' know sometimes the good ideas are just right in front of you , aren ' t they ?",non-neutral
546,"okay , i know it sounds crazy , but i think it might work . y ' know ? the only problem is , carl ' s acting is",neutral
547,the,neutral
548,"yeah , he ' s the reason i didn ' t get that big",neutral
549,"hey , uh can i get a little piece of that cake ?",neutral
550,pizza ! we like pizza ! get out !,anger
551,"hey monica , there ' s a customer who wants to complement the chef , should i let him in ?",neutral
552,"sure , i love this part !",joy
553,come on in .,neutral
554,"really ? in the moment , i really wanted to kiss you too . in the moment .",joy
555,"in the moment , yeah .",neutral
556,but only in the moment . so do ya wanna kiss again ?,non-neutral
557,"sure , new year ' s eve is only two weeks away . can you wait ?",neutral
558,no .,neutral
559,me neither .,neutral
560,"3 , 2 ,",neutral
561,"joey , you don ' t have to count down every time we kiss .",non-neutral
562,"uh , yeah , okay . except i sorta felt like i needed a couple of seconds to get ready .",non-neutral
563,wow . wow !,surprise
564,yeah .,neutral
565,alright . phoebe ?,neutral
566,"okay , okay .",neutral
567,"if i were omnipotent for a day , i would want , um , world peace , no more hunger , good things for the rain - forest . and bigger boobs !",joy
568,"yeah , see . you took mine . chandler , what about you ?",neutral
569,"uh , if i were omnipotent for a day , i ' d . make myself omnipotent forever .",neutral
570,"see , there ' s always one guy . "" if i had a wish , i ' d wish for three more wishes . """,disgust
571,"hey joey . hi . hey , buddy .",neutral
572,"hey , joey , what would you do if you were omnipotent ?",neutral
573,probably kill myself !,non-neutral
574,. excuse me ?,surprise
575,"hey , if little joey ' s dead , then i got no reason to live !",sadness
576,"joey , uh -",surprise
577,you,neutral
578,i ' m sorry .,sadness
579,"joey , onstage !",non-neutral
580,well can you at least stay to the end of the play ?,sadness
581,"i mean , i ' ll go to the airport with ya , i - i wanna say good bye .",sadness
582,where are you vic ?,neutral
583,flight ' s in an hour . i - i gotta go .,sadness
584,vic ! vic !,non-neutral
585,in a minute !,anger
586,so this is it ? victor ?,sadness
587,"yeah , i guess it is .",sadness
588,"listen , i ah , i gotta say good bye , and - and i gotta say it quick cause this is killing me .",sadness
589,"one thing you gotta know , is that i will never forget you .",sadness
590,"but , you ' ve got things you have to do now , and so do i .",sadness
591,"and so i ' m gonna get on this spaceship , and i ' m gonna go to blargon 7 in search of alternative fuels .",sadness
592,"but when i return , 200 years from now , you ' ll be long gone .",sadness
593,but i won ' t have aged at all .,neutral
594,"so you tell your great - great - granddaughter to look me up , because adrienne , baby , i ' m gonna want to meet her .",neutral
595,"so long , vic !",sadness
596,i have to say,neutral
597,no way ! the most romantic song ever is,non-neutral
598,"see , i - i think that one that elton john wrote for , um , that guy on",neutral
599,"what song was that , pheebs ?",neutral
600,hi monica !,joy
601,hey mon !,joy
602,hey mon !,joy
603,"oh my god , has she slept at all ?",surprise
604,nope .,neutral
