idx,sentence,emotion
70,the whole thing ! can we go ?,neutral
71,"oh no - no - no , give me some specifics .",non-neutral
72,"i love the specifics , the specifics were the best part !",non-neutral
73,"hey , what about the scene with the kangaroo ? did - did you like that part ?",neutral
74,i was surprised to see a kangaroo in a world war i epic .,non-neutral
75,you fell asleep !,anger
76,there was no kangaroo !,anger
77,they didn ' t take any of my suggestions !,non-neutral
78,that ' s for coming buddy .,neutral
79,i ' ll see you later .,neutral
80,don ' t go !,sadness
81,i ' m sorry .,sadness
82,i ' m so sorry !,sadness
83,look !,surprise
84,this guy fell asleep !,non-neutral
85,he fell asleep too !,non-neutral
86,be mad at him !,anger
87,"or , call an ambulance .",non-neutral
88,"okay , look , i think we have to tell rachel she messed up her dessert .",neutral
89,"what ! what is with everybody ? it ' s thanksgiving , not . truth - day !",non-neutral
90,"yes , and it is my dying wish to have that ring .",neutral
91,"see , if i ' m not buried with that ring then my spirit is going to wander the nether world for all eternity",neutral
92,"okay , that ' s enough honey !",neutral
93,i don ' t know . let me see the ring .,neutral
94,"great ! okay , here .",joy
95,all right .,neutral
96,thank you . thank you . thank you ! and,joy
97,what ' ve you been up to ?,neutral
98,"oh , you know , the usual , teaching aerobics , partying way too much .",neutral
99,"oh , and in case you were wondering , those are my legs on the new james bond poster .",neutral
100,can you hold on a moment ? i have another call . i love her .,joy
101,i know .,neutral
102,i ' m back .,neutral
103,"so , are we gonna get together or what ?",neutral
104,"um , absolutely . uh , how ' bout tomorrow afternoon ? do you know uh , central perk in the village , say , five - ish ?",neutral
105,"great , i ' ll see you then .",neutral
106,ok . ok . having a phone has finally paid off .,joy
107,"even though you do do a good bob impression , i ' m thinkin ' when she sees you tomorow , she ' s probably gonna realize , "" hey , you ' re not bob . """,neutral
108,"i ' m hoping that when bob doesn ' t show up , she will seek comfort in the open arms of the wry stranger at the next table .",neutral
109,oh my god . you are pure evil .,disgust
110,"ok , pure evil , horny and alone . i ' ve done this",non-neutral
111,nobody !,anger
112,nobody respects the bucket !,anger
113,you wouldn ' t believe what people put in here !,non-neutral
114,look !,anger
115,"okay , does this look like a garbage can to you ?",anger
116,no .,neutral
117,this is my wedding .,neutral
118,"all right , y ' know what ? we really are late ! let ' s go ! let ' s go ! let ' s go !",non-neutral
119,fine . you ' ll - you ' ll watch it on video when we get back .,neutral
120,here you go phoebe ! here you go phobo ! phewbedo ! phaybobo .,joy
121,thank you .,neutral
122,thank you .,neutral
123,"all right , let ' s go ! bye , pheebs !",joy
124,"bye , pheebs !",joy
125,london baby !,joy
126,"oh , do you need a hug ? you don ' t have to bring me anything !",joy
127,hey !,non-neutral
128,hey ! so estelle lined up a bunch of auditions for me tomorrow and i ' ll have my health insurance back in no time .,joy
129,"that ' s great , but shouldn ' t you be on the toilet right now ?",non-neutral
130,what !,surprise
131,what ' s wrong with you ?,non-neutral
132,nothing !,neutral
133,"well , i - i got this blinding pain in my stomach when i was lifting weights before , then i uh passed out and uh , haven ' t been able to stand up since .",fear
134,"but um , i don ' t think it ' s anything serious .",neutral
135,this sounds like a hernia . you have toyou - you go to the doctor !,surprise
136,"no way ! kay look , if i have to go to the doctor for anything it ' s gonna be for this thing sticking out of my stomach !",fear
137,that ' s a hernia .,non-neutral
138,why did i have to start working out again ? damn you 15s !,anger
139,i love your place ! where is this guy from ?,joy
140,uh that ' s an eighteenth century indian artifact from calcutta .,neutral
141,"oh wow ! so , you ' re more than just dinosaurs .",surprise
142,so much more .,neutral
143,"well , well to sum up , we ' re having fun , you look young .",neutral
144,okay,neutral
145,but that ' s not enough . so sohere ' s a key to my apartment .,neutral
146,really !,surprise
147,really .,neutral
148,you don ' t think this is too fast .,neutral
149,get out !,anger
150,"ross , can i talk to you for a minute ?",neutral
151,"yes , please ! so , what ' s going on ?",neutral
152,"uh , well . joey and i broke up .",sadness
153,"oh my god , wh - what happened ?",surprise
154,"joey is a great guy , but we ' re just . so different ! i mean , during your speech he kept laughing at homo erectus !",sadness
155,i knew that was him !,non-neutral
156,"anyway i just , uh , i think it ' s for the best .",sadness
157,"hey , you ok ?",neutral
158,i guess .,sadness
159,there was hum . there was another reason that i thought it was time to end it with joey .,neutral
160,i started to realize that i was having feelings for someone else .,neutral
161,"ok geller . last day of the conference , you know what happens to the keynote speaker .",neutral
162,"oh , professor clerk we ' re kind of in the middle of a conversation , here .",neutral
163,"yeah , can you guys just throw him in the pool later ?",neutral
164,or we could throw you both in,non-neutral
165,"ok , gentlemen !",anger
166,please !,anger
167,aren ' t we a little old for this ?,anger
168,"i mean , we ' re scientists , right ?",non-neutral
169,we ' re academics .,non-neutral
170,and most importantly i . you - you will have to catch us first .,joy
171,.,neutral
172,"go , go , go !",joy
173,"go , go , go !",joy
174,"oh yeah , now everybody wants to be under this hat !",joy
175,oy !,non-neutral
176,what ' s with all this sand ?,surprise
177,"oh , yeah , bob said there might be flood damage .",neutral
178,"yeah , either that , or he has a really big cat .",neutral
179,"okay , see that blind guy right there ? i ' m gonna bash his head in later .",anger
180,"oh umm , my big scene is coming up . big scene coming up .",joy
181,"if you said , "" big lima bean , bubbling up . "" would she understand the difference ?",neutral
182,rach ? what are you doing ?,neutral
183,"oh boy , i just can ' t watch . it ' s too scary !",fear
184,it ' s a diaper commercial .,neutral
185,"oh yeah well , you know me , babies , responsibilities , ah !",fear
186,pizza delivery !,joy
187,i ' ll get it ! i will get that !,joy
188,hi !,joy
189,hi !,joy
190,"hey , you wanna get something to eat or uh , do you wanna see how long we can throw this ball back and forth ? huh ?",neutral
191,"uhh , the ball thing .",neutral
192,yeah ?,neutral
193,"hey ross , wouldn ' t it be great if we could go two straight hours without dropping it !",joy
194,"uhh ,",neutral
195,okay !,joy
196,uh - oh .,fear
197,what ?,neutral
198,i have to pee . and rachel ' s in the bathroom !,non-neutral
199,"man , i didn ' t think we were gonna make it !",surprise
200,"i know ! don ' t switch hands , okay ?",fear
201,hey .,neutral
202,hey !,neutral
203,how did it go with erin ?,neutral
204,"oh , unbelievable ! we had the best time !",joy
205,"yay ! oh so , you ' re not , you ' re not mad at us anymore ?",joy
206,no !,non-neutral
207,no !,non-neutral
208,no !,non-neutral
209,you guys were totally right !,joy
210,this is so much better than the first time we went out .,joy
211,y ' know ?,neutral
212,"that was so awkward , we were really nervous .",neutral
213,didn ' t you sleep together ?,neutral
214,"yeah , that really calms me down .",neutral
215,and !,non-neutral
216,we have so much in common !,joy
217,"she loves sandwiches , sports , although she is a met fan , not much of an issue now but if we were ever to have kids , well that ' s a",non-neutral
218,"oh my god ! listen to you talkin ' about having kids . oh my joey . oh , please don ' t get married before i do .",surprise
219,okay .,neutral
220,how does she do that ?,surprise
221,i cannot sleep in a public place .,neutral
222,would you look at her ? she is so peaceful .,non-neutral
223,oh ! what what what ! . hi .,surprise
224,"it ' s okay , y ' know , you just nodded off again .",neutral
225,what ' s going on with you ?,surprise
226,i got no sleep last night !,anger
227,why ?,neutral
228,"my grandmother has this new boyfriend , and they ' re both kind of insecure in bed .",disgust
229,"oh , and deaf .",neutral
230,"so they ' re constantly , like , having to reassure each other that they ' re having a good time .",neutral
231,you have no idea how loud they are !,disgust
232,"well , if you want , you can stay with rachel and me tonight .",neutral
233,thanks .,joy
234,ew ! what is that ? something exploded !,disgust
235,"it ' s just her water breaking . calm down , will you ?",neutral
236,"water breaking , what do you mean ? what ' s that , water breaking ?",surprise
237,"breathe , breathe , breathe .",neutral
238,"are you insane ? i mean joey , is going to kill you , he ' s actually going to kill you dead .",surprise
239,okay ! you don ' t think i thought of that ?,non-neutral
240,how can you not know which one ?,surprise
241,i mean that ' s unbelievable .,non-neutral
242,"i mean , was it gina ?",neutral
243,which one is gina ?,neutral
244,"dark , big hair , with the airplane earrings .",neutral
245,"no , no , no , that ' s dina .",neutral
246,"you see you can ' t tell which one is which either , dwha !",surprise
247,"i don ' t know , you thought see you saturday ' was funny .",neutral
248,"look honey , mark is in fashion okay , i like having a friend that i can share this stuff with .",neutral
249,you guys would never want to go to a lecture with me .,neutral
250,pa - haa ! i would love to go with you .,joy
251,really ?,surprise
252,"yeah , hey i - i have clothes , i even pick them out .",neutral
253,"i mean for , for all you know i could be a fashion . monger .",neutral
254,"okay . honey , i would love for you to go with me . what ?",joy
255,"what should i wear , now i ' m all nervous .",fear
256,": i know , we did it ! hey , that was incredible , huh !",joy
257,"i know , it was amazing ! i mean , we totally nailed it , it was beautiful .",joy
258,": thank you , listen , thanks a lot tribbiani , . oh my god , look at the time , i gotta catch the bus to the ball .",joy
259,"oh well , okay , good luck .",non-neutral
260,: yeah .,neutral
261,unless you wanna practice the foxtrot again ? or - or the tango ?,neutral
262,": ahh , thanks but no . you see i - i think i ' m ready to dance with girls .",neutral
263,okay .,neutral
264,: yeah .,neutral
265,go get em treeger .,neutral
266,": right . hey , ahh , you wanna come ? marge has a girlfriend .",neutral
267,really ?,surprise
268,": yeah , you could dance real good with her , she ' s the same size as me .",neutral
269,"no , i ' m good .",neutral
270,"oh god , this is so nerve wracking ! how - how do you do this ?",non-neutral
271,"well , unfortunately , i don ' t get many callbacks so",neutral
272,is it a good sign that they asked us to hang around after the audition ?,surprise
273,who knows ?,neutral
274,"okay uh , we have narrowed it down to raymond , ben , kyle , and joey . the rest of you , thank you very much .",neutral
275,yes ! i knew it ! bye - bye ! so long ! later !,joy
276,oh this is great ! i might actually get to play ben ' s dad !,joy
277,yeah !,joy
278,"actually , that can ' t happen .",neutral
279,"yeah because you all have such different looks , we ' re putting you with raymond and kyle with ben .",neutral
280,so it ' ll be either you two or you two .,neutral
281,"man , this is gonna be kinda weird .",non-neutral
282,"yeah , it is .",neutral
283,"no , we - we ' re gonna be like best friends , that ' s why it ' s gonna be weird .",neutral
284,"okay , come on , i can ' t get married until i get something old , something new , something borrowed , and something blue .",non-neutral
285,"okay , all right , all right , all right ! okay ! okay , here ' s something , here ' s something blue and new .",joy
286,please !,non-neutral
287,are you kidding ?,non-neutral
288,"i - i hurt three huge men , i gave a guy a bloody nosei mean i - i ' m not proud of it but , i really am .",non-neutral
289,"and it ' s all because of you , wonderful , amazing you .",joy
290,i think you ' ve got concussion .,fear
291,"no , no , i ' m serious . thank you .",joy
292,you ' re welcome . i ' m sorry . did i hurt you ?,fear
293,"it ' s worth the pain . y ' know what , you know what ? it ' s not .",non-neutral
294,wow ! that mike thing was interesting ! i don ' t know what ' s gonna happen with phoebe and david .,surprise
295,"i do ! want a hint ? huh ? "" i do "" "" i do "" .",non-neutral
296,"ok , i ' m sensing that this is some kind of word play , because you are pink with barely controlled glee .",neutral
297,david is going to propose to phoebe .,joy
298,what ? why ?,surprise
299,"be - cause , we were talking about ways that he could beat mike and i told him that phoebe wanted to get married .",non-neutral
300,"chandler , we have talked about this .",anger
301,you are not supposed to give people advice !,anger
302,now couldn ' t you just have made some sort of inappropriate joke ?,non-neutral
303,i,neutral
304,they ' ve only been going out for a few weeks and phoebe is completely hung up on mike !,anger
305,"she ' ll say "" no "" , david ' s heart will be broken , it will be too hard for them to recover from and then phoebe will end up alone",non-neutral
306,"man , that ' s some",non-neutral
307,"oh , that ' s not what you want .",neutral
308,"this is my father , paul stevens . dad , this is ross geller .",neutral
309,it - it ' s great to meet you paul .,joy
310,i usually prefer elizabeth ' s boyfriends to address me as mr . stevens .,neutral
311,"of course , of course , mr . stevens .",neutral
312,"so ross , what your problem ?",anger
313,eh - whexcuse me ?,surprise
314,why can ' t you get a girlfriend your own age ?,anger
315,that ' s funny . umm . it ' s not funny .,fear
316,i,neutral
317,okay .,neutral
318,"i can , i can see that .",neutral
319,"umm , but i think if you give me umm , one chance i can , i can change your mind .",fear
320,okay .,neutral
321,what ?,neutral
322,okay . i ' ll give you one chance to change my mind . you got one minute .,anger
323,daddy !,surprise
324,"oh well , it ' s not on tv yet .",neutral
325,"well , then it ' s not on the wall yet .",neutral
326,"okay , fine , i will bring you a tape , huh ?",neutral
327,"so umm , now do you have any of matt lauer ' s clothes here ? maybe ? just ones that haven ' t been cleaned yet ?",neutral
328,ohh !,surprise
329,"oh yeah , i ' m sure . and all of a sudden his hands weren ' t the problem anymore .",neutral
330,was it ?,surprise
331,"oh , boy scouts could have camped under there .",neutral
332," o ,  what ?",surprise
333,uma thurman .,neutral
334,oh !,surprise
335,the actress !,surprise
336,thanks rach .,neutral
337,so what are you gonna do ?,surprise
338,you have to tell her !,joy
339,you have to tell her !,joy
340,"it ' s your moral obligation , as a friend , as a woman , i think it ' s a feminist issue !",non-neutral
341,guys ?,non-neutral
342,guys ?,non-neutral
343,"oh , yeah , you have to tell her .",neutral
344,feminist issue . that ' s where i went !,neutral
345,she is gonna hate me .,fear
346,"yeah , well .",neutral
347,will you marry me ?,non-neutral
348,it ' s the big night ! we wanted to wish you good luck !,joy
349,"yeah , yeah you have the ring ?",neutral
350,"yeah , right here in my pocket . pheebs ?",neutral
351,oh ! oop !,surprise
352,"okay , now will you guys get out of here ? i want this is to be a surprise and she ' s gonna know .",neutral
353,yeah - yeah you guys . get out of here !,neutral
354,hi guys .,neutral
355,you are beautiful .,joy
356,"oh , thank you ! what ' s going on ?",joy
357,we ' re just reallyvery excited about this charity event that we have to go to .,neutral
358,"okay umm , ross ?",neutral
359,"i ' m - i ' m really warm , so i ' m going to be taking off my sweater .",neutral
360,"now , i ' m just letting you know that this is",neutral
361,yep ! that ' s hilarious !,joy
362,i ' m sorry . i ' m done . i ' m done .,neutral
363,"y ' know , last night was embarrassing for you too .",neutral
364,"no , not really . i mean you ' ve seen me naked hundreds of times .",neutral
365,uh - huh . but it was a first for the rest of my building .,neutral
366,"okay . all right , that ' s true ! but y ' know i just don ' t embarrass that easily .",neutral
367,what ! you totally get embarrassed !,surprise
368,"no , i don ' t ! ross , i think i ' m just a more secure person than you are .",neutral
369,is that so ?,neutral
370,yeah .,neutral
371,hey lady ! i don ' t care how much you want it ! okay ! i am,disgust
372,i can ' t believe it !,surprise
373,i did it !,joy
374,i rode a bike !,joy
375,i never thought i ' d be able to do that !,joy
376,thank you ross .,joy
377,"oh hey , don ' t thank me , thank yourself . you ' re the one who faced her fears and ultimately overcame them .",joy
378,"well yeah , but then",non-neutral
379,"yeahno - but - but - but - but ! we ' re just gonna go home and take a shower . now , that ' s not scary right ?",non-neutral
380,depends on what you mean by we .,neutral
381,"hey , both you guys should be up there with me .",neutral
382,"i mean , you two are - are my i mean , i ' m lucky to have just one good",neutral
383,thanks man .,neutral
384,i gotta go check something over here .,neutral
385,what a baby .,non-neutral
386,total wuss !,non-neutral
387,david ?,neutral
388,phoebe ! hi !,joy
389,oh my god !,surprise
390,"wow , you look unbelievable .",joy
391,yeah . what - what are you doing here ?,surprise
392,"well , i ' m back from minsk . permanently .",non-neutral
393,what happened ?,surprise
394,"well , remember how i was trying to achieve the positronic distillation of subatomic particles ?",neutral
395,yeah ?,neutral
396,"well , after eight years of research i discovered that it can ' t be done .",sadness
397,"well , it ' s great that you ' re back ! how are you ?",joy
398,"good , good , life is good .",non-neutral
399,good !,joy
400,"ah well , i - i ' m seeing someone .",non-neutral
401,"oh , good for you .",neutral
402,"she ' s also a scientist , so she ' s very smart and pretty and . well , it ' s actually because of you , really , that we ' re together , i mean , i saw what you had with that mike guy , and i just said "" boy , i want that "" .",non-neutral
403,mike and i broke up .,sadness
404,"it means that we can keep trying , but there ' s a good chance this may never happen for us .",sadness
405,oh my god !,surprise
406,i ' m sorry .,sadness
407,i ' m sorry too .,sadness
408,"well , we ' re gonna . we ' re gonna figure this out .",non-neutral
409,i know .,non-neutral
410,"okay , we have a lot of options here , a number of prototypes for you to try on .",neutral
411,wow ! this looks great !,joy
412,"yeah ! okay , this one is a mushroom cap . umm , this one is made of bologna .",non-neutral
413,and - and - and - and - and the toothpicks ?,non-neutral
414,you kissed another woman !,non-neutral
415,call it even !,neutral
416,okay !,non-neutral
417,"well , i ' m gonna go get these in some water .",neutral
418,wait you stole those from these people ' s wedding ?,surprise
419,"no - no , i took them from the hotel lobby .",neutral
420,"yeah , they think they can charge me for some dirty movie and a bag of mashuga nuts , they got another think coming .",anger
421,hey !,surprise
422,my sweater !,surprise
423,i ' ve been looking for this for like a month !,surprise
424,oh my god !,surprise
425,oh my god !,surprise
426,happy ! is that what i ' m supposed to be vic ? happy ?,non-neutral
427,"well , why don ' t you tell me what you ' re supposed to be !",anger
428,huh ?,surprise
429,because i sure as hell can ' t figure it out !,anger
430,i talk to you and nothin ' .,non-neutral
431,"you look at me , and it ' s nothin ' .",non-neutral
432,nothing .,non-neutral
433,"tasty ! i ' m really starting to feel like you guys have a history , it ' s - it ' s nice .",joy
434,i have a question about this scene .,neutral
435,yes ?,neutral
436,"well , i don ' t understand why adrienne ' s attracted to victor .",non-neutral
437,"peel the onion . first of all , he ' s good looking .",neutral
438,yeah .,neutral
439,i think my character ' s gonna need a little bit more of reason than that .,neutral
440,"oh , hey , how about this one .",neutral
441,"ah , it ' s says so in the script !",non-neutral
442,"y ' know ah , i - i don ' t know why my character likes you either , i mean it says in the script here that you ' re a bitch .",non-neutral
443,it doesn ' t say that in the script .,anger
444,it does in mine !,non-neutral
445,i can ' t,non-neutral
446,yeah ! you gotta tell a girl before you tape her . such a rookie mistake .,non-neutral
447,y ' know who has a great video camera ?,neutral
448,greg and jenny ?,neutral
449,do you still wanna call em ? i wanna call em .,neutral
450,let ' s call em .,neutral
451,yeah ! ask them if they brought their friends any souvenirs !,joy
452,hello ? eighth street deli ?,neutral
453,"hey , hang up ! you get food poisoning just talkin ' to that place .",disgust
454,"uh sorry , wrong number .",non-neutral
455,here you go .,neutral
456,hello ? it ' s the deli again !,surprise
457,all right ! i ' ll have a sandwich !,joy
458,i don ' t think this number ' s right !,non-neutral
459,oh come on !,non-neutral
460,"gotta go . i miss you too , i love you , but it ' s getting real late now",sadness
461,"hey ma . listen , i made the appointment with dr . bazida , and . excuse me ? did you know this isn ' t ma ?",surprise
462,her name ' s ronni . she ' s a pet mortician .,neutral
463,sure . so how long you been .,neutral
464,"remember when you were a little kid , i used to take you to the navy yard and show you the big ships ?",neutral
465,since then !,surprise
466,"no , it ' s only been six years .",neutral
467,i just wanted to put a nice memory in your head so you ' d know that i wasn ' t always such a terrible guy .,neutral
468,. joe .,neutral
469,y ' ever been in love ?,neutral
470,. i d ' know .,neutral
471,then y ' haven ' t . you ' re burning your tomatoes .,neutral
472,you ' re one to talk .,disgust
473,"joe , your dad ' s in love big time . and the worst part of it is , it ' s with two different women .",neutral
474,oh man . please tell me one of ' em is ma .,non-neutral
475,"of course , course one of ' em ' s ma . what ' s the matter with you .",surprise
476,"everything ' s gonna be all right . okay , dick ?",neutral
477,"hello , i am guru saj - - whoa ! that ' s supposed to be a duck right ? cause otherwise , this is way out of my league .",surprise
478,"hey , rach , how was work ?",neutral
479,"oh , great . although i did sit down where there wasn ' t a chair .",neutral
480,"by the way , ross dropped by a box of your stuff .",neutral
481,"oh , well , i guess i had that one coming .",neutral
482,"i ' m just gonna throw it out , it ' s probably just a bunch of shampoo and .",neutral
483,something wrong ?,neutral
484,no . nothing .,neutral
485,"and then , and then you said that thing about , about bringing the mesozoic era in the 21st century .",neutral
486,"yeah , that ' s it ?",surprise
487,yeah .,neutral
488,yess !,joy
489,we ' re teeth people zack !,joy
490,"dude , i am sorry about what i said !",sadness
491,"no , no , you ' re right , it is a ridiculous name !",non-neutral
492,it ' s not that bad .,neutral
493,"yes it is ! from now on , i have no first name .",non-neutral
494,"so , you ' re just bing ?",neutral
495,because we won our apartment back !,joy
496,"what ? ace is high ! jack , queen , king , ace !",surprise
497,"no ! ace is low ! ace , two , three , four !",non-neutral
498,i don ' t know . ooh ! ooh ! look it ! ah - ha !,surprise
499,"all right , cut , let ' s pick again , pick again .",neutral
500,okay .,neutral
501,come on apartment ! come on apartment ! oh ! i know queen is high !,non-neutral
502,"uh - huh , not as high as it worked ! king !",surprise
503,yeah baby !,joy
504,"but , we pick again ! we pick again !",joy
505,why !,neutral
506,i don ' t know !,non-neutral
507,tickets please ! that ' s courtside baby !,joy
508,"seriously , good game though . good game . what are they so mad about ? they get the apartment back !",surprise
509,no they didn ' t !,non-neutral
510,"you know , i don ' t think we brought enough stuff . did you forget to pack the baby ' s anvil ?",neutral
511,it ' s gonna be worth it .,neutral
512,"it ' s a known fact that women love babies , all right ?",neutral
513,women love guys who love babies .,neutral
514,it ' s that whole sensitive thing .,neutral
515,"quick , aim him at that pack o ' babes over there .",neutral
516,maybe one of them will break away .,neutral
517,"no , no wait , for get them , we got one , hard left .",non-neutral
518,"all right , gimme the baby .",neutral
519,"no , i got him .",neutral
520,"no , seriously .",non-neutral
521,"oh , seriously you want him ?",surprise
522,hello .,neutral
523,"well , don ' t , don ' t think me immodest , but , me ?",surprise
524,you wanna smell him ?,neutral
525,"oh , yeah . he ' s got that great baby smell . get a whiff of his head .",joy
526,what ' d i tell you ? what ' d i tell you ?,non-neutral
527,"well , we are great guys .",neutral
528,bye .,neutral
529,"well , not really .",neutral
530,"i mean technically it ' s - it ' s not against the rules or anything , but it is frowned upon .",neutral
531,"especially by that professor we ran into last night , judgey von holierthanthou .",non-neutral
532,"well ross , you be careful now . you don ' t want to get a reputation as y ' know professor mcnailshisstudents .",non-neutral
533,yeah . what - what should i do ?,non-neutral
534,"well ross , it seems pretty clear .",neutral
535,i mean what ' s more important ?,neutral
536,"what people think or how you feel , huh ?",neutral
537,"ross , you gotta follow your heart .",neutral
538,joey that is so sweet .,joy
539,hey .,neutral
540,"hey - hey - hey ! so , how did it go with dana ? any reason i should leave a block of time open say thursday ?",neutral
541,i couldn ' t do it .,sadness
542,you couldn ' t do it !,surprise
543,"hey , relax i just need more time . we ' re going to dinner tonight .",neutral
544,what ! you ' re going out with her again !,surprise
545,going out with who ?,neutral
546,"uh , dana keystone from college .",neutral
547,oh yeah ! wasn ' t she uh,surprise
548,"no , that was dana caplin .",neutral
549,joey ! you didn ' t even know her !,surprise
550,ah whatever !,non-neutral
551,"morning ! hey , how ' s my favorite genius and my little robot buddy !",joy
552,don ' t touch him !,anger
553,okay !,surprise
554,all right .,neutral
555,"umm , all right wayne , level with me .",neutral
556,okay ?,neutral
557,i - i keep hearing all these rumors that i might get fired .,fear
558,"okay , they even have actors coming in to read for my part !",non-neutral
559,"come on man , you - you got to give me a second chance !",non-neutral
560,"i mean , i love - i love this little guy !",non-neutral
561,ah - ah !,surprise
562,"okay , that ' s why you didn ' t want me to touch him right ?",surprise
563,here you go !,neutral
564,okay ?,neutral
565,stupid !,anger
566,i can ' t believe it !,surprise
567,god !,anger
568,"hey , how you doin ' ?",neutral
569,hey .,neutral
570,"hi . look um , about what happened earlier .",non-neutral
571,"no , hey , well , i - i completely understand . you were , you were stressed .",neutral
572,i was gonna give you a chance to apologise to me .,non-neutral
573,for what ? for letting you throw me out of your office ?,anger
574,you had no,anger
575,"yeah , well excuse me for wanting to be with my girlfriend on our anniversary , boy what an ass am i .",anger
576,"but i told you , i didn ' t have the time !",anger
577,"yeah , well you never have the time . i mean , i don ' t feel like i even have a girlfriend anymore , rachel .",anger
578,"wh , ross what do you want from me ?",anger
579,"you want me , you want me to quit my job so you can feel like you have a girlfriend ?",anger
580,i know .,neutral
581,"ooh , i have to tell you something .",non-neutral
582,what ?,neutral
583,but i can ' t tell you .,neutral
584,"okay , but wouldn ' t it be easier if you had to tell me something that you could tell me .",neutral
585,"well , sure in a perfect world . but , no , i promised i wouldn ' t tell , and i swore to like all my gods .",neutral
586,okay . does it have to do with ross and rachel ?,neutral
587,no .,neutral
588,does it have to do with joey ?,neutral
589,no .,neutral
590,does it have to do with - with chandler and that sock that he keeps by his bed ?,neutral
591,"no , but let ' s come back to that later !",neutral
592,hi !,joy
593,richard !,joy
594,"actually , i ' m not here to complement the chef .",neutral
595,"ohh oh , that ' s okay i hate when people come back to complement the chef .",neutral
596,like i have nothing better to do !,neutral
597,so what ' s up ?,neutral
598,"well , it was great seeing you the other night .",joy
599,"oh , good to see you too . did you come down here to tell me that ?",neutral
600,no ! i came here to tell you something else . i came here to tell you i still love you .,joy
601,"one pregnant woman at a time , please ! i just want you to be okay .",non-neutral
602,so forcing her to marry bobby is gonna make that happen ?,non-neutral
603,"maybe ! well ! wellso - so uh , what kind of music does numb nutsoh forget it ! i can ' t !",anger
604,"joey , i am scared to death about this .",fear
605,"but i really think i can do it , i ' m just gonna need some help .",fear
606,and bobby ' s gonna be here the whole time .,neutral
607,"you bet i am ! and to answer your earlier question , we ' re straight - up gangster rap .",joy
608,"look , rachel ' s told me how much easier you ' ve made all this on her . why can ' t you do that for me ?",anger
609,because ! cause cause you ' re my baby sister !,non-neutral
610,and you ' re my big brother !,joy
611,"i mean , you ' re my favorite guy in the whole world .",neutral
612,i ' m not even scared to tell mom and dad .,neutral
613,i was scared of telling you .,fear
614,"well i ' d be scared of them , but all right .",non-neutral
615,"joey , i can ' t stand the thought of having this baby with you mad at me .",sadness
616,i want him to have his uncle .,sadness
617,is my baby gonna have his uncle joey ?,sadness
618,of course he ' s gonna have his uncle joey !,joy
