id,utterance
168,you got it . come here .
169,"oh god ! listen , i am this close to robbing you guys ."
170,"she ' s a hooker ! she ' s a hooker ! she ' s a ? hi ! uh , we spoke on the phone ."
171,the data we are receiving from mri scans and dna testing of these fossils are - are staggering .
172,m - mm .
173,"i mean , we ' ve been accepting leakey ' s dates as a given , but if they ' re off by even a hundred thousand years or so then you can - you can just throw most of our assumptions , you know , right in the trash ."
174,so - so what i am saying is - is is that is that the repercussions could be huge !
175,"i mean , not just in palaeontology , but if - if you think about it , in evolutionary biology , uh , genetics , geology , uh , i mean , truly the mind boggles !"
176,"you ' re right , you ' re right , it is . so you gonna invite us all to the big opening ?"
177,"so you uh , nervous about getting married ?"
178,what are you doing ?
179,forget it .
180,i - i ? y ' know what ?
181,i ' ll just have the conversation .
182,"i ' ll just say i like things the way they are , and hope for the best ."
183,what do you think rach ?
184,"i think , if it was a little colder in here i could see your nipples through that sweater ."
185,what else ? what else ?
186,"uh , well he ' s 33 ."
187,oh . ah - uh .
188,a widower .
189,oh .
190,"he seemed like a stand up guy . oh , and he ' s not into anything weird sexually ."
191,enter pheebs .
192,so that ' s why i feed my dog
193,that ' s where you pick up the bag .
194,exactly .
195,"no , the line is pick a bag , so you need to pick up the bag ."
196,"or , i could just point to it ! huh ? blah , blah , blah ,"
197,no .
198,"yeah , okay ."
199,hey !
200,hey !
201,hey !
202,hey !
203,"hey , what have you guys been up to ?"
204,"oh , we were helping chandler write his vows , but he kicked us out because joey kept making inappropriate suggestions ."
205,"how is "" monica , i love your sweet ass , "" inappropriate ?"
206,how ' s monica coming along with her vows ?
207,"well let ' s just say its . she ' s lucky she has a sweet ass , cause she ' s not so good at the writing ."
208,did not .
209,"i am telling you , up until i was , like nine , i thought that gunpoint was an actual place where crimes happen ."
210,how was that possible ?
211,"oh , we ' re having spaghetti ! that ' s . easy ."
212,"i know this is going to sound unbelievably selfish , but , were you planning on bringing up the whole baby / lesbian thing ?"
213,because i think it might take some of the heat off me .
214,"hey toby , you got a sec ?"
215,"sure , what ' s up ?"
216,"i just had a meeting , i was actually hoping to get transferred up here , but i just found out its not gonna happen ."
217,apparently somebody thinks i ' m not eleventh floor material .
218,"say uh , who the"
219,"i ' ll be a fool for you . i ' m sure , you know i don ' t mind"
220,yes ! you mean the world the world to me . oh .
221,i know
222,i know
223,i ' ve found
224,i ' ve found .
225,". in you , my endless"
226,"you hopped a little bit . yeah , i really sorry ."
227,"okay . all right , this is my favourite part of the weekend , right now , this ."
228,this ?
229,uh - huh .
230,"oh come on we went , we went to time square , we found ninja stars , i almost got arm broken by a hooker ."
231,she wasn ' t a hooker .
232,"well , when i tell my friends about her she will be ."
233,"oh bing , look at those twin sisters dancing together . let me buy you a lap dance with those girls . huh ?"
234,"oh that ' s all right sir , and that ' s just one girl ."
235,bing ? what ' s this !
236,it ' s a hand . it ' s a thing you use as a
237,"no , it ' s a wedding ring . you gotta get rid of it . we ' re gonna go to the east river right now and throw it in there !"
238,oh no - no - no !
239,"oh yeah - yeah - yeah , y ' know i did it and i felt a hell of a lot better and if you whip it just right you might hit a seagull in the head ."
240,"hey mon , what are you doing now ? wanna come see a movie with us ?"
241,argh !
242,"it worked ! i scared ya , i knew it ! ha - ha !"
243,i ' m over here big guy .
244,"yeah , you are ! i scared you !"
245,hey guys ! do you wanna look at the song list for the wedding ? guys ?
246,i thought you were gonna be gone all day .
247,"alright , what ' s going on ?"
248,i ' m sorry . i ' m sorry . i - i should probably leave you girls alone .
249,"yeah , laugh all you want but in ten minutes we ' re gonna have younger looking skin !"
250,"yeah ! y ' know , she could use a little ? oh nice shot !"
251,"hey , monica !"
252,"hey frannie , welcome back ! how was florida ?"
253,"you had sex , didn ' t you ?"
254,how do you do that ?
255,"oh , i hate you , i ' m pushing my aunt roz through parrot jungle and you ' re having sex !"
256,you know paul ?
257,"paul the wine guy ? oh yeah , i know paul ."
258,you mean you know paul like i know paul ?
259,"are you kidding ? i take credit for paul . y ' know before me , there was no snap in his turtle for two years ."
260,"ok if everyones on board , its settled , chandler , chandler ?"
261,yep .
262,are you on board ?
263,yes .
264,"then , problem solved . chandler will be running our office in tulsa . youre gonna love oklahoma ."
265,rachel ! monica !
266,come on !
267,i can ' t believe this !
268,"all right well , y ' know ? i guess we know what we have to do to get down ."
269,"yeah , i guess we don ' t have a choice . help us ! please help us ! we ' re stuck up on the roof and we can ' t get down !"
270,ross . i was thinking we could just go down the fire escape .
271,"i know , i wasn ' t finished . but don ' t worry ! we ' re gonna go down the fire escape !"
272,are you kidding ? i ' m trained for nothing ! i was laughed out of twelve interviews today .
273,and yet you ' re surprisingly upbeat .
274,"you would be too if you found john and david boots on sale , fifty percent off !"
275,"oh , how well you know me ."
276,"they ' re my new ' i don ' t need a job , i don ' t need my parents , i ' ve got great boots ' boots !"
277,how ' d you pay for them ?
278,"uh , credit card ."
279,and who pays for that ?
280,um . my . father .
281,well hello ! welcome to monica ' s . may i take your coat ?
282,hi steve !
283,"hello , monica . hello , greeter girl ."
284,this is rachel .
285,"yeah , ok ."
286,"m ! everything smells so delicious ! you know , i can ' t remember a time i smelt such a delicious combination of of , ok , smells ."
287,it ' s a lovely apartment .
288,yes ! my baby ' s finally free !
289,all - all right ! start it up ! let ' s go !
290,woohoo !
291,how hot are we ?
292,you wanna buy a car ?
293,no .
294,"i don ' t know , could be an hour , could be three , but relax , she ' s doing great ."
295,"so , uh , tell me , are you currently involved with anyone ?"
296,"no , no , not at the moment , no , i ' m not . are you ?"
297,"no , it ' s hard enough to get women to go out with me ."
298,"right , yeah , i ' ve heard that about cute doctors ."
299,"no , no , really . i suppose it ' s because i spend so much time , you know , where i do ."
300,oh .
301,"i try not to let my work affect my personal life , but it ' s hard , when you . do what i do ."
302,"it ' s like uh . well , for instance , what do you do ?"
303,hey .
304,hey .
305,oh . sorry !
306,"no - no - no , y ' know what ?"
307,"i really shouldn ' t have said that you were embarrassing me , i mean that really wasn ' t cool ."
308,"and if it makes you feel any better , i ' ve had a really lousy day ."
309,me too .
310,yeah ?
311,"noo ! i ' ve had the best day ever ! dude , check this out !"
312,"mr . tribbiani , i ' m afraid you ' ve got kidney stones ."
313,"umm , well , what else could it be ?"
314,it ' s kidney stones .
315,or ?
316,kidney stones !
317,"okay , i don ' t think it ' s going to pivot anymore ."
318,you think !
319,"all right , let ' s uh , let ' s bring it back down and - and try again ."
320,"okay , yeah , i think it ' s really stuck now ."
321,i can ' t believe that didn ' t work !
322,"i know , me neither ! i mean , you"
323,"oh , y ' know , what did you mean when you said pivot ?"
324,"well , i bet you are all thinkin ' "" now would be a really great time for an intermission "" , huh ?"
325,"oh yes , god yes !"
326,"well , you ' re not gonna get one !"
327,"because in life there are no intermissions , people ."
328,chapter 7 : divorce is a 4 letter word .
329,i . i don ' t know . you seem lovely .
330,grab a spoon .
331,do you know how long it ' s been since i ' ve grabbed a spoon ?
332,"do the words ' billy , don ' t be a hero ' mean anything to you ?"
333,"great story ? but , i uh , i gotta go , i got a date with andrea - - angela - - andrea ? oh man ,"
334,"angela ' s the screamer , andrea has cats ."
335,right ? thanks ? it ' s june ? i ' m outta here .
336,"y ' know , here ' s the thing . even if i could get it together enough to - to ask a woman out , . who am i gonna ask ?"
337,"okay , and oh i ' m gonna need a bunch of extra keys . apparently i give them away for no reason at all ."
338,"hey ross , what ' s going on ? you changing the lock ?"
339,no . that guy is .
340,i don ' t understand . you - you give me a key to your apartment and then you change the lock .
341,"umm , i - i thought we were moving forward and now you ' re - you ' re sending me all these mixed signals . what are you trying to tell me ?"
342,i ' m trying to tell you i made you a mix tape .
343,what ?
344,i love you !
345,ohh ! and i love spending time with you .
346,i remember the moonlight coming through the window - and her face had the most incredible glow .
347,"yes , the moon , the glow , the magical feeling , you did this part - could i get some painkillers over here , please ?"
348,"he ' s right , enough , already ."
349,what is the big deal about today ?
350,"so you slept with her for the first time , so what ?"
351,you slept with her for seven years after that .
352,"look , it ' s just a little more complicated ."
353,how can you say that ! the
354,what about benitez ?
355,what about game 1 of the series ?
356,what about shut up ?
357,that was you ?
358,"oh i , i don ' t - i don ' t think that would be the best idea ."
359,what time ?
360,gotcha .
361,"oh ! so - so seriously , what time ?"
362,hey pheebs .
363,hey !
364,any sign of your brother ?
365,"no , but he ' s always late ."
366,i thought you only met him once ?
367,"yeah , i did . i think it sounds y ' know big sistery , y ' know , frank ' s always late ."
368,"well relax , he ' ll be here ."
369,"no , i know , i ' m just nervous ."
370,"y ' know it ' s just y ' know mom ' s dead , don ' t talk to my sister , grandma ' s been sleeping a lot lately ."
371,"it ' s like the last desperate chance to have a family , y ' know , kinda thing ."
372,you ' re so sweet to wait with me .
373,"well , actually gunther sent me . you ' re not allowed to have cups out here , it ' s a thing ."
374,"and if you think about it , i mean the reason he memorized all that stuff is because he thought it was important to you ."
375,"you know , that ' s the kind of guy joey is ."
376,he is very sweet . plus he ' s
377,that was going to be my next argument .
378,hey !
379,hey !
380,hey !
381,you ' re ready ?
382,"yeah , let ' s go . thanks ross ."
383,"hey ross ! that art stuff worked , you hooked me up ."
384,glad i could help man .
385,"although some of that stuff wasn ' t where you said it was gonna be , but . i made it work ."
386,wow ! i cannot believe mark asked you out .
387,i know .
388,"what , so what are you gonna tell him ?"
389,"well , i told him i would think about it , but i ' m gonna tell him no ."
390,huh .
391,i mean i think i ' d say no to anybody right now .
392,"oh , but it was so strange ."
393,"i mean i ' m standing there with this charming , cute guy , who ' s asking me to go out with him , which i ' m allowed to do , and i felt guilty ."
394,"y ' know , like i ' d be cheating on ross or something ."
395,"wow . so , okay , maybe that means that , you ' re not over ross yet and you have issues with your father ."
396,i don ' t have any issues with my father .
397,"okay , so it ' s probably just the ross thing then ."
398,i don ' t think this town is big enough for both of us to relax in . draw !
399,"i wasn ' t doing anything . uh - oh , what did she do now ?"
400,"just because she went to yale drama , she thinks she ' s like the greatest actress since , since , sliced bread !"
401,"ah , sliced bread , a wonderful lady macbeth ."
402,"god , i just , i hate her !"
403,i hate her !
404,"with her , ' oh , i ' m so talented . ' and ' oh , i ' m so pretty , ' and ' ooh , i smell so good . '"
405,i think somebody has a crush on somebody .
406,"hey , chandler , can we please stay focused on my problem here ! y ' know ?"
407,"i ' m talking about you . you big , big freak ."
408,"oh . ohh . ohh , you ' re out of your mind ."
409,"hey , you have nothing but talk about her for the last 48 hours !"
410,if you were in a school yard you ' d be pulling her pigtails and pushing her down now !
411,"oh , yeah ! then how come i keep thinking about her in all these sexual scenarios and stuff huh !"
412,. poulet passes it up to leetch !
413,leetch spots messier in the crease - there ' s the pass !
414,we ' ll take a brief time out while messier stops to look at some women ' s shoes .
415,carol was wearing boots just like those the night that we - we first - y ' know .
416,"fact , she , uh - she never took ' em off , ' cause we - we - sorry ."
417,sorry .
418,i ' m a waitress .
419,"ok , all right , well aren ' t there times when you come home at the end of the day , and you ' re just like , ' if i see one more cup of coffee ' ."
420,yeah . gotcha .
421,i ' m gonna go check up on your friend .
422,ok . that ' s fine .
423,"joey , what - wh - wh - wha - wh - wha - wh - wha - wh - wha - what are you doing here ?"
424,waiting for my grandma to finish my laundry . what about you ?
425,i ' m here to see mary - angela .
426,you are so the man !
427,"now look , listen , listen , you got to be cool , cause my grandma doesn ' t know about you two yet , and you do not want to tick her off ."
428,she was like the sixth person to spit on mussolini ' s hanging body .
429,yeah .
430,where ' s mary - angela ?
431,she ' s right in there .
432,morning .
433,actually he ' s the smallest person in the world .
434,heard about the leg burnin ? huh ?
435,it came up .
436,"listen , i ah , i know it ' s a longshot . but , by any chance did she find that funny ?"
437,airplane
438,"oh , time ' s up ."
439,bye . bye .
440,what ' s a ' niffle ' ?
441,you usually find them on the ' heaving beasts ' .
442,"alright , alright , so i ' m not a great typist ."
443,"wait , did you get to the part about his ' huge throbbing pens ' ?"
444,"tell ya , you don ' t wanna be around when he starts writing with those !"
445,"alright , that ' s it ! give it back ! that ' s it !"
446,no !
447,"ok , i dont wanna be negative so ill say that most of the signs you bought are good ."
448,"no they ran out of "" its a girl "" but i can fix this one , see ?"
449,so sexy . honey .
450,yea yea .
451,honey why dont you go lie down .
452,"no , no , ross and rachel will be back soon and then i gotta go to the office am i producing them ?"
453,whyre you so tired ?
454,"couldnt sleep last night you know , then i started worrying about this big divisional meeting that i have later today , the more i worried about it the more i couldnt sleep ."
455,yknow ?
456,"i was like , if i fall asleep now ill get six hours sleep , but if i fall asleep now ill get five hours sleep ."
457,not matter what i did i couldnt fall asleep .
458,"you know what you shouldve done , you should have told yourself that little story ."
459,hi !
460,"hi , welcome home !"
461,"oh , please ! what ' s wrong with helen ?"
462,helen geller ? i don ' t think so .
463,hello ? it ' s not gonna be helen geller .
464,thank you !
465,"monica , i started my day by peeing in front of twenty - five other women , and you ' re worried about who ' s gonna take you to the"
466,"well , not . worried , just . wondering ."
467,"there ' s nothing to wonder about , monica ."
468,"you ' re gonna go back to being exactly who you were , because that ' s who you are ."
469,not necessarily .
470,"yes necessarily ! i mean , i dunno what it is , maybe it ' s the amish thing ."
471,"um , i ' m not actually amish ."
472,really ? then why are you like that ?
473,i cannot believe i can ' t find a selfless good deed !
474,y ' know that old guy that lives next to me ?
475,"well , i snuck over there and - and raked up all the leaves on his front stoop ."
476,but he caught me and force - fed me cider and cookies .
477,then i felt wonderful .
478,that old jackass !
479,maybe joey ' s right . maybe all good deeds are selfish .
480,"i ' m sorry but , ow - ow - ow !"
481,you ' ve been lying to me ? i can ' t believe you ' d do that .
482,"well , maybe he just didn ' t want to hurt your feelings ."
483,but the minute we start to lie to each other ? and by ' we ' i mean society .
484,"there you go ! good enough for your party , huh ?"
485,sure .
486,yep ?
487,"sure , i ' ll just sit next to the trans - sexual from purchasing ."
488,"okay , come on ! all right , i gotta go ! so good luck at the party . okay ?"
489,"oh wait , ross , would you just stay and help me get dressed ?"
490,"sure , okay ."
491,"okay . okay , great ! umm , okay , just turn around ."
492,what ?
493,i don ' t want you to see me naked !
494,"rachel , i ' ve seen you naked a million times ."
495,i ate hot fudge off you naked .
496,"remember , i - i sucked that mini - marshmallow out of your belly button ?"
497,nah - ha !
498,here it is ! our last pizzas together as roommates .
499,"oh , i wish i ' d know you were going to do that , i ordered chinese ."
500,oh that ' s okay .
501,"hey , actually in a way it ' s kinda nice ."
502,"me , bringing the food of my ancestors , you , the food of yours !"
503,"say , joe , i had a strange idea of what we could do for our last night ."
504,"what do you say we play a little uh , foosball for money ?"
505,"what , are you crazy ?"
506,you haven ' t beaten me once since my injury plagued ? 97 season .
507,it would be easier if you just give me your money .
508,yes it would . what do you say to $ 50 ?
509,"okay , you ' re on ."
510,"okay , let ' s play ! the big game , italy vs . china , apparently ."
511,"it ' s not a big deal . it ' s , just it ' s right here , and it ' s all the time ."
512,"well , thanks again for lunch ."
513,"yes , this , this was pleasant ."
514,"no honey , i ' m sorry , but the weekend ' s not over yet ."
515,"oh . oh my god , is that phoebe ?"
516,i guess they ' re back from their date .
517,music . very nice .
518,oh my god !
519,"so , how are you ?"
520,i am good . i finished my book .
521,"oh yeah , what ' s it about ?"
522,i don ' t remember . do you wanna take a walk ?
523,"yeah , i do ."
524,"okay , now the mastodon is from the semi - late jurassic period ."
525,isn ' t the mastodon from the pliocene epic ?
526,sh !
527,"this is a museum , no talking ."
528,"right down here , we have a large foot ."
529,"uhh , and over here we have ross geller ."
530,everyone wave ' hi ' to ross .
531,"ross is one of our most important scientists , look at him , hard at work ."
532,"okay , moving right along ."
533,come on .
534,i can ' t believe it ! we ' re here !
535,"ooh , chocolates on the pillows ! i love that !"
536,"oh , you should live with joey ,"
537,"come here . okay , be right back ."
538,"oh yes ! monica , get in here ! there ' s a high - speed car chase on !"
539,we ' re switching rooms .
540,"oh dear god , they gave us glasses !"
541,"no , they gave us glasses with lipstick on them !"
542,"i mean , if they didn ' t change the glasses , who knows what else they didn ' t change ."
543,"come on sweetie , i just want this weekend to be perfect , i mean we can change rooms , can ' t we ?"
544,okay ! i ' m ready .
545,you sure ?
546,"yes , i ' ve done my studying and i really know my stuff ."
547,all right then . rachel green ! let ' s play bamboozled ! how do you test the temperature of the baby ' s bath water ?
548,"uh , put your elbow in it ."
549,excellent ! how do you put a baby down for a nap ?
550,"full , dry , on its back , and no loose covers ."
551,"that ' s correct ! this is an audio question , what do you do when the baby makes this sound ?"
552,"check if it ' s wet , check if it ' s hungry , burp it !"
553,"excellent ! excellent , now - now do you want another question or a wicked wango card ?"
554,a card ! a card ! i pick a card !
555,"oh , i ' m sorry you ' ve been bamboozled ! you ' re gonna be a terrible mother ! i ' ve lost sight of why we ' re doing this !"
556,she came and dragged me out of the labor room to ask me why i ' m not with rachel .
557,yeah . why aren ' t you with rachel ?
558,"are you kidding ? look , we ' re not gonna be together just because we ' re having a baby . okay ?"
559,but y ' know what ? it just seems that you two belong together .
560,"okay , stop it ! i can ' t deal with this right now . i have to go have a baby ."
561,right . and with who again ?
562,god . he ' s crazy ! why doesn ' t he want to be with rachel ?
563,i know !
564,"i mean seriously , she ' s like the perfect woman ."
565,"i mean i know she turned me down , but if she hadn ' t and wanted to be with me , i would take her in my arms and ? i haven ' t bummed you guys out like this in a while have i ?"
566,"hey ! hey alright ! hey , glad you could make it thanks for coming ."
567,oh my god ! kyle lowder !
568,hi .
569,i love you !
570,"hey , that ' s why i didn ' t invite you ."
571,"you have to calm down , alright . go , go get yourself a drink or something ."
572,oh yeah that ' s what you want - my inhibitions lowered .
573,hey !
574,"oh my god , can you believe we are surrounded by all this ? i can barely control myself ."
575,"monica , you might want to remember that you are married . where"
576,oh my god ! chandler !
577,oh yeah .
578,ah .
579,ah ? eh ?
580,uh - huh .
581,hey guys !
582,hey !
583,hey !
584,do you guys know what happened to chandler ' s barcalounger ?
585,"oh yeah , joey broke it . had to get rid of it ."
586,are you kidding ! i get a
587,thank you . so what does this bob guy look like ? is he tall ? short ?
588,yep .
589,which ?
590,what is the big deal ?
591,it ' s weird ! in a doctor ' s office ?
592,it ' s not ok to do it in a doctor ' s office but it is ok to do it in a parked car behind a taco bell ?
593,"i cannot believe ross told you that ! and in my defense , it was a wendy ' s !"
594,"look , i don ' t wanna do this test either , but i really do think it ' s a good idea !"
595,"yeah , ok . i ' m sure that doctor ' s office can ' t be worst than on a class trip to the hershey ' s factory !"
596,oh !
597,"oh , yeah ! rachel talks too !"
598,i hate this woman !
599,i hate her !
600,"she told everyone in the company about that info - mercial , and now they all keep asking me to open their drinks ."
601,"okay , and whenever i can ' t do it , they ' re all like - like laughing at me ."
602,hello .
603,hey !
604,so rachel called . wants to see me . going over in a minute .
605,"wow , what - what do you think she wants ?"
606,"well , maybe the crazy fog has lifted and she realises that life without me . a - sucks ."
607,"it ' s possible . you are very loveable , i ' d miss you if i broke up with you . i was just trying to be supportive ."
608,then be supportive like a guy .
609,"if i broke up with you , i ' d miss you ."
610,"okay phoebe , we should probably go back now ."
611,"please don ' t leave me , i ' ll be lonely ."
612,stop it . stop ! okay let ' s go . we can be strong .
613,"yeah , okay ."
614,"oh my god ! did you hear that ? she said monica ! oh , i can ' t leave her !"
615,"you know if you want , we can sneak the dog back in and chandler wouldn ' t even know ."
616,that ' s not gonna work .
617,i ' ve had that dog there for three days and chandler had no idea . he ' s not so smart .
618,hey ! i didn ' t know either .
619,"yeah , but you kinda knew that something was going on , didn ' t you ?"
620,"yeah , i knew ."
621,"hey , guess what i ' m doing this weekend ! i ' m going to this culinary fair in new jersey ."
622,"oh weird , chandler just told us he ' s got a conference there !"
623,"oh now that - that - that ' s funny , it seems like chandler ' s conference could ' ve been in connecticut or vermont ."
624,i ' m not in charge of where the conference is held .
625,do you want people to think it ' s a fake conference ?
626,it ' s a real conference .
627,hey .
628,hey !
629,hey .
630,is rachel here ? i gotta talk to her .
631,"no , she ' s out shopping ."
632,"sh ! i ' m sorry , i thought maybe i ' d make some warm milk and it would help me sleep ."
633,with a wok ? i thought you were going to read my boring book to put you asleep .
634,it got interesting ! damn you oprah !
635,"here , let me make the milk , i ' m up anyway ."
636,"hey , y ' know what we can do ?"
637,"y ' know , now that we are up ?"
638,"we can just like talk to each other all night long , y ' know like we did when we were first going out ."
639,it ' d be fun !
640,okay that does sound like fun .
641,"okay , so how bummed were you when the second sister died huh ?"
642,the second sister dies !
643,"no . no , i - i was , i was talking about the book i was reading ."
644,the second sister dies in
645,that ' s correct .
646,look at it this way :
647,hey !
648,you ' re a lucky man .
649,you know what i miss the most about her ?
650,that cute nibbly noise when she eats .
651,"like a happy little squirrel , or a weasel ."
652,"huh , i never really noticed ."
653,"oh , yeah , yeah , listen for it ."
654,"monica , monica is great ."
655,"yeah , but it ' s not gonna last . she ' s too much for me in bed . sexually ."
656,you ' re shooting with althea !
657,althea is correct .
658,nice shooting !
659,we ' ll take literature !
660,"every week , the tv guide comes to chandler and joey ' s apartment . what name appears on the address label ?"
661,chandler gets it ! it ' s chandler bing !
662,no !
663,i ' m afraid the tv guide comes to chinandolor bong .
664,i knew that ! rachel ! use you ' re head !
665,"actually , it ' s miss chinandolor bong ."
666,phoebe did the signs !
667,oh you guys thanks for doing this .
668,look at all the stuff people sent !
669,oh ah !
670,"oh my gosh theres something every mother needs , a giant stuffed gorilla that takes up the entire apartment !"
671,what are people think oh you guys i love it .
672,hey so wheres ross ?
673,hes downstairs getting the rest of the stuff out of the cab .
674,is he still mad at us ?
675,"well , you more then me , but he cant stay to mad at me . i mean , i just had his baby ."
676,thats not fair ! i cant do that .
677,"yeah , im not so sure you should be here when he comes up ."
678,"see this is what i was afraid of , i didnt think i should be here either but somebody said hed be over it by now ."
